Origin, Residence , pop_type ,"2,014","2,015"
Afghanistan,Afghanistan,Others of concern,201284,150317
Bahamas,Bahamas,Others of concern,75,86
Belize,Belize,Others of concern,0,57
Bosnia and Herzegovina,Bosnia and Herzegovina,Others of concern,1907,1907
Bosnia and Herzegovina,Bosnia and Herzegovina,Others of concern,50530,50530
Brazil,Brazil,Others of concern,29238,6264
Burundi,Burundi,Others of concern,524,645
Cambodia,Cambodia,Others of concern,1,197
Cameroon,Cameroon,Others of concern,0,11
Cayman Islands,Cayman Islands,Others of concern,45,0
Chad,Chad,Others of concern,35000,30000
Chad,Chad,Others of concern,15000,20000
China,China,Others of concern,0,1
"Congo, Republic of","Congo, Republic of",Others of concern,625,2710
"Congo, Republic of","Congo, Republic of",Others of concern,425,144
Côte d'Ivoire,Côte d'Ivoire,Others of concern,58,57
Croatia,Croatia,Others of concern,11899,10570
Croatia,Croatia,Others of concern,3895,3500
Cyprus,Cyprus,Others of concern,0,6000
Dem. Rep. of the Congo,Dem. Rep. of the Congo,Others of concern,109205,0
Dem. Rep. of the Congo,Dem. Rep. of the Congo,Others of concern,43931,14474
El Salvador,El Salvador,Others of concern,0,10100
Eritrea,Eritrea,Others of concern,21,6
Ethiopia,Ethiopia,Others of concern,1126,934
Guatemala,Guatemala,Others of concern,0,3500
Honduras,Honduras,Others of concern,0,5100
Iraq,Iraq,Others of concern,18,29
Lebanon,Lebanon,Others of concern,3166,2420
Lebanon,Lebanon,Others of concern,2539,2818
Liberia,Liberia,Others of concern,1479,1479
Madagascar,Madagascar,Others of concern,1,0
Malaysia,Malaysia,Others of concern,80000,80000
Montenegro,Montenegro,Others of concern,11021,10822
Mozambique,Mozambique,Others of concern,3,0
Namibia,Namibia,Others of concern,1660,1660
Namibia,Namibia,Others of concern,2,46
Nepal,Nepal,Others of concern,381,378
Nepal,Nepal,Others of concern,4,6
Nicaragua,Nicaragua,Others of concern,2,1
Niger,Niger,Others of concern,70000,70000
Philippines,Philippines,Others of concern,68,68
Russian Federation,Russian Federation,Others of concern,2126,0
Rwanda,Rwanda,Others of concern,292,968
Singapore,Singapore,Others of concern,1,1
Slovakia,Slovakia,Others of concern,131,85
Somalia,Somalia,Others of concern,69,86
Sudan,Sudan,Others of concern,228,453
Sudan,Sudan,Others of concern,2842,2902
Swaziland,Swaziland,Others of concern,4,3
Syrian Arab Rep.,Syrian Arab Rep.,Others of concern,3270,3554
Tajikistan,Tajikistan,Others of concern,77,52
Tajikistan,Tajikistan,Others of concern,0,1
Thailand,Thailand,Others of concern,395,438
Timor-Leste,Timor-Leste,Others of concern,6,6
Trinidad and Tobago,Trinidad and Tobago,Others of concern,0,3
Trinidad and Tobago,Trinidad and Tobago,Others of concern,0,2
Tunisia,Tunisia,Others of concern,3,2
Turkey,Turkey,Others of concern,306,0
Uganda,Uganda,Others of concern,180000,180000
United Rep. of Tanzania,United Rep. of Tanzania,Others of concern,162256,162256
United Rep. of Tanzania,United Rep. of Tanzania,Others of concern,726,6369
Yemen,Yemen,Others of concern,0,17
Zambia,Zambia,Others of concern,18185,18687
Zambia,Zambia,Others of concern,4267,4634
Zimbabwe,Zimbabwe,Others of concern,116,135
Zimbabwe,Zimbabwe,Others of concern,239,0
Zimbabwe,Zimbabwe,Others of concern,2095,3249
