 Origin , Residence , pop_type ,"2,014","2,015"
Afghanistan,Australia,Refugees,7675,7785
Afghanistan,Austria,Refugees,14793,17458
Afghanistan,Belgium,Refugees,2460,2934
Afghanistan,Canada,Refugees,2704,2890
Afghanistan,Denmark,Refugees,2130,2166
Afghanistan,Finland,Refugees,1443,1406
Afghanistan,France,Refugees,3838,4397
Afghanistan,Germany,Refugees,27814,30026
Afghanistan,Greece,Refugees,1451,5223
Afghanistan,India,Refugees,10395,10196
Afghanistan,Indonesia,Refugees,1681,2890
Afghanistan,Iran (Islamic Rep. of),Refugees,950000,951142
Afghanistan,Italy,Refugees,8991,12203
Afghanistan,Netherlands,Refugees,6244,5803
Afghanistan,Norway,Refugees,5454,5684
Afghanistan,Pakistan,Refugees,1504912,1560592
Afghanistan,Sweden,Refugees,12090,13064
Afghanistan,Switzerland,Refugees,4119,4686
Afghanistan,Syrian Arab Rep.,Refugees,1214,1213
Afghanistan,Tajikistan,Refugees,1975,1950
Afghanistan,Turkey,Refugees,4188,3846
Afghanistan,Ukraine,Refugees,1544,1520
Afghanistan,United Kingdom,Refugees,9054,9354
Afghanistan,United States of America,Refugees,1210,1361
Albania,Canada,Refugees,1530,1243
Albania,France,Refugees,2522,2911
Albania,United Kingdom,Refugees,1371,1823
Albania,United States of America,Refugees,2751,2194
Algeria,France,Refugees,1353,1384
Angola,Brazil,Refugees,1070,1083
Angola,France,Refugees,3338,3349
Angola,South Africa,Refugees,3031,3042
Armenia,France,Refugees,4063,4034
Armenia,Germany,Refugees,1127,1191
Armenia,United States of America,Refugees,2816,2440
Azerbaijan,Armenia,Refugees,1554,1501
Azerbaijan,France,Refugees,2771,2816
Azerbaijan,Germany,Refugees,2167,2171
Bangladesh,Canada,Refugees,1483,1112
Bangladesh,France,Refugees,3717,3960
Bangladesh,Italy,Refugees,1357,2545
Bangladesh,United States of America,Refugees,1096,1121
Belarus,United States of America,Refugees,1923,1804
Bhutan,Nepal,Refugees,23059,17134
Bosnia and Herzegovina,France,Refugees,4078,4055
Bosnia and Herzegovina,Germany,Refugees,1381,1412
Bosnia and Herzegovina,Serbia and Kosovo: S/RES/,Refugees,11323,9287
Bosnia and Herzegovina,Switzerland,Refugees,2460,2274
Burundi,Canada,Refugees,2114,2074
Burundi,Dem. Rep. of the Congo,Refugees,9259,23163
Burundi,Malawi,Refugees,1335,1479
Burundi,Mozambique,Refugees,971,1119
Burundi,Rwanda,Refugees,388,70848
Burundi,South Africa,Refugees,3653,3819
Burundi,Uganda,Refugees,11903,26256
Burundi,United Rep. of Tanzania,Refugees,34313,155755
Burundi,Zambia,Refugees,2501,2931
Cambodia,France,Refugees,12003,11824
Cameroon,Canada,Refugees,985,1103
Cameroon,United States of America,Refugees,5016,4530
Central African Rep.,Cameroon,Refugees,220702,267463
Central African Rep.,Chad,Refugees,91783,63397
Central African Rep.,"Congo, Republic of",Refugees,21695,23664
Central African Rep.,Dem. Rep. of the Congo,Refugees,68165,107929
Central African Rep.,France,Refugees,1004,1607
Central African Rep.,South Sudan,Refugees,2040,1882
Central African Rep.,Sudan,Refugees,4113,1439
Chad,Cameroon,Refugees,1738,1798
Chad,France,Refugees,1197,1232
Chad,Sudan,Refugees,42334,8894
China,Australia,Refugees,2883,2955
China,Belgium,Refugees,1219,1305
China,Canada,Refugees,13231,11415
China,France,Refugees,2476,3260
China,Germany,Refugees,1530,1406
China,India,Refugees,109018,110098
China,Netherlands,Refugees,1259,1236
China,Switzerland,Refugees,3344,3022
China,United Kingdom,Refugees,1847,1837
China,United States of America,Refugees,71902,74020
Colombia,Brazil,Refugees,1200,1280
Colombia,Canada,Refugees,16428,13666
Colombia,Chile,Refugees,996,1054
Colombia,Costa Rica,Refugees,16623,2247
Colombia,Ecuador,Refugees,121317,120685
Colombia,Panama,Refugees,15551,15593
Colombia,United States of America,Refugees,10552,8043
Colombia,Venezuela (Bolivarian Rep. of),Refugees,173519,173673
"Congo, Republic of",France,Refugees,3252,3225
"Congo, Republic of",South Africa,Refugees,6035,6566
"Congo, Republic of",United States of America,Refugees,1351,1344
Côte d'Ivoire,France,Refugees,2516,2654
Côte d'Ivoire,Ghana,Refugees,9779,10807
Côte d'Ivoire,Guinea,Refugees,6580,6668
Côte d'Ivoire,Italy,Refugees,4603,5079
Côte d'Ivoire,Liberia,Refugees,38109,36041
Côte d'Ivoire,Togo,Refugees,2558,2516
Côte d'Ivoire,United States of America,Refugees,1709,1574
Croatia1,Bosnia and Herzegovina,Refugees,6703,6679
Croatia1,Serbia and Kosovo: S/RES/,Refugees,32372,25962
Cuba,Canada,Refugees,1618,1512
Cuba,Panama,Refugees,1118,1118
Dem. Rep. of the Congo,Angola,Refugees,12944,12944
Dem. Rep. of the Congo,Belgium,Refugees,894,1008
Dem. Rep. of the Congo,Brazil,Refugees,791,1045
Dem. Rep. of the Congo,Burundi,Refugees,52631,53029
Dem. Rep. of the Congo,Canada,Refugees,3544,3316
Dem. Rep. of the Congo,Central African Rep.,Refugees,5342,4798
Dem. Rep. of the Congo,"Congo, Republic of",Refugees,23376,12267
Dem. Rep. of the Congo,France,Refugees,13727,14182
Dem. Rep. of the Congo,Germany,Refugees,1646,1537
Dem. Rep. of the Congo,Kenya,Refugees,9324,12046
Dem. Rep. of the Congo,Malawi,Refugees,2511,5361
Dem. Rep. of the Congo,Mozambique,Refugees,2651,3415
Dem. Rep. of the Congo,Namibia,Refugees,1384,1313
Dem. Rep. of the Congo,Rwanda,Refugees,73400,73864
Dem. Rep. of the Congo,South Africa,Refugees,30125,32582
Dem. Rep. of the Congo,South Sudan,Refugees,15485,15916
Dem. Rep. of the Congo,Switzerland,Refugees,1337,1346
Dem. Rep. of the Congo,Uganda,Refugees,178217,201782
Dem. Rep. of the Congo,United Kingdom,Refugees,1868,1473
Dem. Rep. of the Congo,United Rep. of Tanzania,Refugees,53881,55803
Dem. Rep. of the Congo,Zambia,Refugees,18598,19293
Dem. Rep. of the Congo,Zimbabwe,Refugees,4866,5414
Egypt,Australia,Refugees,1370,1507
Egypt,Italy,Refugees,1145,1397
Egypt,United States of America,Refugees,10047,10852
El Salvador,Canada,Refugees,1301,1403
El Salvador,United States of America,Refugees,8256,11273
Eritrea,Canada,Refugees,1750,1811
Eritrea,Denmark,Refugees,319,3213
Eritrea,Egypt,Refugees,1625,1405
Eritrea,Ethiopia,Refugees,123784,155231
Eritrea,France,Refugees,1671,2208
Eritrea,Germany,Refugees,4716,10980
Eritrea,Israel,Refugees,32668,31708
Eritrea,Italy,Refugees,13357,11962
Eritrea,Kenya,Refugees,1333,1229
Eritrea,Netherlands,Refugees,6294,10870
Eritrea,Norway,Refugees,11202,13490
Eritrea,South Africa,Refugees,2219,2338
Eritrea,Sudan,Refugees,109196,98676
Eritrea,Sweden,Refugees,14107,20203
Eritrea,Switzerland,Refugees,16091,21000
Eritrea,Uganda,Refugees,2600,3401
Eritrea,United Kingdom,Refugees,11579,12383
Eritrea,United States of America,Refugees,3868,4085
Eritrea,Yemen,Refugees,1254,1278
Ethiopia,Canada,Refugees,2155,2047
Ethiopia,Egypt,Refugees,1138,1085
Ethiopia,Germany,Refugees,2695,2657
Ethiopia,Italy,Refugees,2354,1894
Ethiopia,Kenya,Refugees,21250,21229
Ethiopia,Norway,Refugees,1884,2012
Ethiopia,Somalia,Refugees,2606,2756
Ethiopia,South Africa,Refugees,18830,20324
Ethiopia,South Sudan,Refugees,4900,4200
Ethiopia,Sudan,Refugees,5495,3194
Ethiopia,Switzerland,Refugees,845,1019
Ethiopia,Uganda,Refugees,1265,1495
Ethiopia,United Kingdom,Refugees,833,1006
Ethiopia,United States of America,Refugees,10384,10566
Ethiopia,Yemen,Refugees,5934,5645
Gambia,Italy,Refugees,1923,4919
Gambia,United Kingdom,Refugees,1105,1235
Gambia,United States of America,Refugees,1264,1371
Georgia,France,Refugees,2714,2826
Ghana,Italy,Refugees,1733,2502
Ghana,Togo,Refugees,18444,18476
Guatemala,United States of America,Refugees,6098,8864
Guinea,Belgium,Refugees,2742,3150
Guinea,France,Refugees,5201,6005
Guinea,Italy,Refugees,1026,1626
Guinea,United States of America,Refugees,3145,2862
Haiti,Canada,Refugees,8422,8807
Haiti,France,Refugees,3523,3445
Haiti,United States of America,Refugees,24170,21508
Honduras,United States of America,Refugees,2797,4918
India,Canada,Refugees,4292,3712
India,United States of America,Refugees,4484,4581
Indonesia,Papua New Guinea2,Refugees,9368,9368
Indonesia,United States of America,Refugees,3604,3183
Iran (Islamic Rep. of),Australia,Refugees,4900,5201
Iran (Islamic Rep. of),Austria,Refugees,3203,3379
Iran (Islamic Rep. of),Canada,Refugees,2834,2639
Iran (Islamic Rep. of),Denmark,Refugees,1912,2009
Iran (Islamic Rep. of),France,Refugees,2359,2417
Iran (Islamic Rep. of),Germany,Refugees,18814,19763
Iran (Islamic Rep. of),Iraq,Refugees,11053,8231
Iran (Islamic Rep. of),Italy,Refugees,1412,1573
Iran (Islamic Rep. of),Netherlands,Refugees,4207,4125
Iran (Islamic Rep. of),Norway,Refugees,1479,1487
Iran (Islamic Rep. of),Sweden,Refugees,4152,4232
Iran (Islamic Rep. of),Switzerland,Refugees,1486,1604
Iran (Islamic Rep. of),Turkey,Refugees,3388,5262
Iran (Islamic Rep. of),United Kingdom,Refugees,11516,12667
Iran (Islamic Rep. of),United States of America,Refugees,4848,5216
Iraq,Armenia,Refugees,979,1019
Iraq,Australia,Refugees,3121,2925
Iraq,Austria,Refugees,3015,3732
Iraq,Belgium,Refugees,1602,1943
Iraq,Bulgaria,Refugees,1207,1339
Iraq,Canada,Refugees,1643,1892
Iraq,Egypt,Refugees,5149,4347
Iraq,Finland,Refugees,3607,4124
Iraq,France,Refugees,2991,4787
Iraq,Germany,Refugees,41167,51396
Iraq,Greece,Refugees,1242,4348
Iraq,Iran (Islamic Rep. of),Refugees,32000,28268
Iraq,Italy,Refugees,2913,3428
Iraq3,Jordan,Refugees,29263,33256
Iraq,Lebanon,Refugees,5986,7234
Iraq,Libya,Refugees,2520,2507
Iraq,Netherlands,Refugees,14396,12397
Iraq,Norway,Refugees,5190,4916
Iraq,Sweden,Refugees,24184,23886
Iraq,Switzerland,Refugees,3751,3501
Iraq4,Syrian Arab Rep.,Refugees,146200,18253
Iraq,Turkey,Refugees,17542,24135
Iraq,United Kingdom,Refugees,2952,3014
Iraq,United States of America,Refugees,5284,5760
Iraq,Yemen,Refugees,3391,3404
Kenya,Ethiopia,Refugees,2728,3193
Kenya,United States of America,Refugees,2305,2258
Lao People's Dem. Rep.,France,Refugees,7036,6944
Liberia,Côte d'Ivoire,Refugees,1086,1040
Liberia,Ghana,Refugees,5262,2788
Liberia,Guinea,Refugees,1787,1768
Liberia,United States of America,Refugees,1357,1266
Libya,Malta,Refugees,539,1544
Libya,United Kingdom,Refugees,930,1138
Mali,Burkina Faso,Refugees,31604,33574
Mali,France,Refugees,3934,4050
Mali,Italy,Refugees,5552,8334
Mali,Mauritania,Refugees,48912,50233
Mali,Niger,Refugees,47466,56012
Mali,United States of America,Refugees,1178,1239
Mauritania,France,Refugees,5058,5066
Mauritania,Mali,Refugees,12898,13539
Mauritania,Senegal,Refugees,13699,13687
Mauritania,United States of America,Refugees,1327,1174
Mexico,Canada,Refugees,6762,6414
Mexico,United States of America,Refugees,3807,4822
Myanmar5,Bangladesh,Refugees,232462,231948
Myanmar,India,Refugees,14301,15735
Myanmar,Japan6,Refugees,1889,1826
Myanmar,Malaysia,Refugees,93866,88637
Myanmar,Thailand,Refugees,128863,106349
Myanmar,United States of America,Refugees,2204,1999
Nepal,Canada,Refugees,1223,1304
Nepal,United States of America,Refugees,6197,6605
Nigeria,Cameroon,Refugees,39968,71840
Nigeria,Canada,Refugees,4683,4502
Nigeria,Chad,Refugees,2930,5689
Nigeria,France,Refugees,1102,1250
Nigeria,Italy,Refugees,6293,9931
Nigeria,Niger,Refugees,30000,68321
Nigeria,United Kingdom,Refugees,1471,1679
Pakistan,Afghanistan,Refugees,300385,257523
Pakistan,Australia,Refugees,3024,3333
Pakistan,Canada,Refugees,8613,7207
Pakistan,Germany,Refugees,4331,4702
Pakistan,Italy,Refugees,5764,9202
Pakistan,United Kingdom,Refugees,5667,6319
Pakistan,United States of America,Refugees,3009,3111
Palestinian7,Algeria,Refugees,4016,4016
Palestinian7,Cyprus,Refugees,1739,1786
Palestinian7,Egypt,Refugees,70023,70021
Palestinian7,Iraq,Refugees,9246,9250
Palestinian7,Libya,Refugees,5391,5380
Peru,Canada,Refugees,1505,1080
Rep. of Moldova,United States of America,Refugees,1138,1237
Russian Federation,Austria,Refugees,17361,15526
Russian Federation,Belgium,Refugees,2613,2733
Russian Federation,Canada,Refugees,1315,1178
Russian Federation,Denmark,Refugees,1051,1026
Russian Federation,France,Refugees,13644,14195
Russian Federation,Germany,Refugees,4608,4856
Russian Federation,Norway,Refugees,2328,1851
Russian Federation,Poland,Refugees,14277,12304
Russian Federation,Sweden,Refugees,2014,2003
Russian Federation,United States of America,Refugees,6163,5905
Rwanda,Canada,Refugees,1647,1620
Rwanda,"Congo, Republic of",Refugees,9104,8549
Rwanda8,Dem. Rep. of the Congo,Refugees,38028,245052
Rwanda,France,Refugees,2833,2795
Rwanda,Malawi,Refugees,1980,2116
Rwanda,South Africa,Refugees,1814,1881
Rwanda,Uganda,Refugees,14312,14714
Rwanda,United States of America,Refugees,1020,1048
Rwanda,Zambia,Refugees,1904,1548
Saint Vincent and the Grenadines,Canada,Refugees,1723,1778
Senegal,Gambia,Refugees,11036,7392
Senegal,Guinea-Bissau9,Refugees,8601,8601
Senegal,Italy,Refugees,1477,3037
Serbia and Kosovo: S/RES/,Austria,Refugees,2683,2199
Serbia and Kosovo: S/RES/,France,Refugees,12119,12500
Serbia and Kosovo: S/RES/,Germany,Refugees,9294,9157
Serbia and Kosovo: S/RES/,Italy,Refugees,2686,2620
Serbia and Kosovo: S/RES/,Montenegro,Refugees,5633,1613
Serbia and Kosovo: S/RES/,Sweden,Refugees,3082,2390
Serbia and Kosovo: S/RES/,Switzerland,Refugees,3380,3158
Serbia and Kosovo: S/RES/,United States of America,Refugees,1596,1396
Somalia,Austria,Refugees,2641,3406
Somalia,Canada,Refugees,2821,2531
Somalia,Denmark,Refugees,1134,1260
Somalia,Djibouti,Refugees,19720,12323
Somalia,Egypt,Refugees,5733,4491
Somalia,Eritrea,Refugees,2758,2485
Somalia,Ethiopia,Refugees,245097,256669
Somalia,Finland,Refugees,2817,3062
Somalia,France,Refugees,1896,2007
Somalia,Germany,Refugees,4205,4860
Somalia,Italy,Refugees,12213,13068
Somalia,Kenya,Refugees,424691,417920
Somalia,Malta,Refugees,2270,1865
Somalia,Netherlands,Refugees,18687,17444
Somalia,Norway,Refugees,8901,8600
Somalia,South Africa,Refugees,40133,41458
Somalia,Sweden,Refugees,21189,21501
Somalia,Switzerland,Refugees,4279,4334
Somalia,Turkey,Refugees,2389,2364
Somalia,Uganda,Refugees,17010,27720
Somalia,United Kingdom,Refugees,8512,6977
Somalia,United States of America,Refugees,2263,2313
Somalia,Yemen,Refugees,244204,253215
Somalia,Zambia,Refugees,2314,2403
South Sudan,Dem. Rep. of the Congo,Refugees,1790,5597
South Sudan,Egypt,Refugees,542,1686
South Sudan,Ethiopia,Refugees,251791,281508
South Sudan,Kenya,Refugees,89226,95671
South Sudan,Sudan,Refugees,115451,194404
South Sudan,Uganda,Refugees,157053,199359
Sri Lanka,Australia,Refugees,3387,3556
Sri Lanka,Canada,Refugees,10745,8807
Sri Lanka,France,Refugees,23966,24220
Sri Lanka,Germany,Refugees,4046,3920
Sri Lanka,India,Refugees,65057,64208
Sri Lanka,Malaysia,Refugees,1587,1545
Sri Lanka,Switzerland,Refugees,3731,4989
Sri Lanka,United Kingdom,Refugees,4696,5279
Sri Lanka,United States of America,Refugees,1322,1313
Sudan,Central African Rep.,Refugees,1880,1987
Sudan,Chad,Refugees,357711,299750
Sudan,Egypt,Refugees,12730,11296
Sudan,Ethiopia,Refugees,35447,37785
Sudan,France,Refugees,2746,4146
Sudan,Israel,Refugees,6588,6333
Sudan,Italy,Refugees,2530,2161
Sudan,Jordan,Refugees,1013,1815
Sudan,Kenya,Refugees,3381,3419
Sudan,Norway,Refugees,1254,1619
Sudan,South Sudan,Refugees,225727,241002
Sudan,Uganda,Refugees,1802,1992
Sudan,United Kingdom,Refugees,4089,6076
Sudan,United States of America,Refugees,1347,1362
Syrian Arab Rep.,Armenia,Refugees,14994,16611
Syrian Arab Rep.,Austria,Refugees,6653,14894
Syrian Arab Rep.,Belgium,Refugees,1658,4239
Syrian Arab Rep.,Brazil,Refugees,1739,2271
Syrian Arab Rep.,Bulgaria,Refugees,8501,13819
Syrian Arab Rep.,Canada,Refugees,705,1513
Syrian Arab Rep.,Cyprus,Refugees,1451,3110
Syrian Arab Rep.,Denmark,Refugees,7253,12988
Syrian Arab Rep.,Egypt,Refugees,138381,117635
Syrian Arab Rep.,France,Refugees,2882,5179
Syrian Arab Rep.,Germany,Refugees,40994,115604
Syrian Arab Rep.,Greece,Refugees,3913,9101
Syrian Arab Rep.,Iraq,Refugees,234196,244642
Syrian Arab Rep.,Italy,Refugees,1144,1460
Syrian Arab Rep.,Jordan,Refugees,623112,628223
Syrian Arab Rep.,Lebanon,Refugees,1147494,1062690
Syrian Arab Rep.,Malta,Refugees,1047,1328
Syrian Arab Rep.,Morocco,Refugees,647,2619
Syrian Arab Rep.,Netherlands,Refugees,8692,16184
Syrian Arab Rep.,Norway,Refugees,2568,4121
Syrian Arab Rep.,Romania,Refugees,1278,1591
Syrian Arab Rep.,Russian Federation,Refugees,1927,1304
Syrian Arab Rep.,Spain10,Refugees,1336,1336
Syrian Arab Rep.,Sudan,Refugees,797,2692
Syrian Arab Rep.,Sweden,Refugees,34285,52707
Syrian Arab Rep.,Switzerland,Refugees,5161,8695
Syrian Arab Rep.11,Turkey,Refugees,1557899,2503549
Syrian Arab Rep.,United Kingdom,Refugees,4573,6496
Syrian Arab Rep.,United States of America,Refugees,4750,5651
Syrian Arab Rep.,Yemen,Refugees,2276,3011
Tibetan,Nepal,Refugees,15000,15000
Togo,Germany,Refugees,1293,1188
Togo,Ghana,Refugees,2926,3041
Togo,Italy,Refugees,1535,1430
Turkey,Austria,Refugees,1191,1125
Turkey,Canada,Refugees,2863,1991
Turkey,France,Refugees,10699,10652
Turkey,Germany,Refugees,22242,20281
Turkey,Iraq,Refugees,16637,15557
Turkey,Italy,Refugees,2281,2482
Turkey,Switzerland,Refugees,3618,3544
Uganda,United States of America,Refugees,1178,1231
Ukraine,Belarus,Refugees,284,1089
Ukraine,Canada,Refugees,1468,1314
Ukraine,France,Refugees,737,1038
Ukraine,Italy,Refugees,236,1870
Ukraine,Russian Federation,Refugees,231787,311407
Ukraine,United States of America,Refugees,1424,1486
United Rep. of Tanzania,Greece,Refugees,6,5411
United States of America,Canada,Refugees,4687,4573
Uzbekistan,United States of America,Refugees,1497,1431
Venezuela (Bolivarian Rep. of),United States of America,Refugees,6693,6193
Viet Nam12,China,Refugees,300896,300896
Viet Nam,France,Refugees,8281,8132
Viet Nam,Germany,Refugees,1449,1357
Viet Nam,Switzerland,Refugees,1203,1130
Western Sahara13,Algeria,Refugees,90000,90000
Western Sahara,Mauritania,Refugees,26001,26007
Yemen,Djibouti,Refugees,0,6157
Yemen,Ethiopia,Refugees,65,1088
Yemen,Somalia,Refugees,5,5183
Zimbabwe,Australia,Refugees,1020,1009
Zimbabwe,Canada,Refugees,2767,2368
Zimbabwe,South Africa,Refugees,6217,6358
Zimbabwe,United Kingdom,Refugees,9466,9045
Zimbabwe,United States of America,Refugees,1492,1316
Stateless,Australia,Refugees,1710,1727
Stateless,Austria,Refugees,1141,2457
Stateless,Canada,Refugees,1583,1503
Stateless,Denmark,Refugees,1065,1958
Stateless,Germany,Refugees,1559,2935
Stateless,Netherlands,Refugees,2079,3714
Stateless,Norway,Refugees,2655,3005
Stateless,Sweden,Refugees,12476,15410
Stateless,United Kingdom,Refugees,1101,1407
Various,Belgium,Refugees,8230,8345
Various,France,Refugees,60000,68443
Various,Germany,Refugees,4526,9089
Various,Greece,Refugees,136,1539
Various,Italy,Refugees,982,1212
Various,Netherlands,Refugees,3339,2612
Various,Switzerland,Refugees,565,1173
Various,United Kingdom,Refugees,20021,19731
Various,United States of America,Refugees,2521,2903
