Origin, Residence , pop_type ,"2,014","2,015"
Stateless,Albania1,Stateless,7443,7442
Stateless,Armenia,Stateless,206,311
Stateless,Austria,Stateless,570,828
Stateless,Azerbaijan2,Stateless,3585,3585
Stateless,Belarus3,Stateless,6440,5635
Stateless,Belgium,Stateless,4476,5776
Stateless,Bhutan,Stateless,0,0
Stateless,Bosnia and Herzegovina4,Stateless,101,58
Stateless,Brazil,Stateless,2,4
Stateless,Brunei Darussalam,Stateless,20524,20524
Stateless,Bulgaria,Stateless,67,67
Stateless,Burundi,Stateless,1302,1302
Stateless,Cabo Verde5,Stateless,115,115
Stateless,Cambodia,Stateless,0,0
Stateless,"China, Hong Kong SAR",Stateless,1,1
Stateless,Colombia,Stateless,12,12
Stateless,Costa Rica6,Stateless,1200,1806
Stateless,Côte d'Ivoire7,Stateless,700000,700000
Stateless,Croatia8,Stateless,2886,2873
Stateless,Czech Rep.9,Stateless,1502,1502
Stateless,Dem. Rep. of the Congo,Stateless,0,0
Stateless,Denmark,Stateless,4725,6580
Stateless,Dominican Republic10,Stateless,210000,133770
Stateless,Egypt,Stateless,20,22
Stateless,Eritrea,Stateless,0,0
Stateless,Estonia11,Stateless,88076,85301
Stateless,Ethiopia,Stateless,0,0
Stateless,Finland,Stateless,2293,2427
Stateless,France,Stateless,1288,1326
Stateless,Georgia,Stateless,770,627
Stateless,Germany12,Stateless,11917,12569
Stateless,Greece13,Stateless,199,198
Stateless,Haiti14,Stateless,0,977
Stateless,Hungary,Stateless,124,132
Stateless,Iceland,Stateless,119,131
Stateless,India,Stateless,0,0
Stateless,Indonesia,Stateless,0,0
Stateless,Iraq15,Stateless,120000,50000
Stateless,Ireland,Stateless,99,99
Stateless,Israel16,Stateless,10,15
Stateless,Italy17,Stateless,813,747
Stateless,Japan,Stateless,635,603
Stateless,Kazakhstan,Stateless,7038,7909
Stateless,Kenya18,Stateless,20000,20000
Stateless,Kuwait,Stateless,93000,93000
Stateless,Kyrgyzstan,Stateless,12133,9118
Stateless,Latvia19,Stateless,180,178
Stateless,Latvia20,Stateless,262622,252017
Stateless,Lebanon,Stateless,0,0
Stateless,Liberia,Stateless,1,1
Stateless,Libya,Stateless,0,0
Stateless,Liechtenstein,Stateless,2,0
Stateless,Lithuania,Stateless,3645,3466
Stateless,Luxembourg,Stateless,81,82
Stateless,Madagascar,Stateless,0,0
Stateless,Malaysia21,Stateless,40000,11689
Stateless,Mexico,Stateless,13,13
Stateless,Mongolia,Stateless,16,6
Stateless,Montenegro22,Stateless,3296,3262
Stateless,Myanmar23,Stateless,810000,938000
Stateless,Nepal24,Stateless,0,0
Stateless,Netherlands,Stateless,1951,1951
Stateless,Nicaragua,Stateless,1,1
Stateless,Norway,Stateless,1997,2561
Stateless,Pakistan,Stateless,0,0
Stateless,Panama,Stateless,2,2
Stateless,Philippines25,Stateless,6370,7138
Stateless,Poland26,Stateless,10825,10825
Stateless,Portugal27,Stateless,14,14
Stateless,Qatar,Stateless,1200,1200
Stateless,Rep. of Korea,Stateless,204,197
Stateless,Rep. of Moldova28,Stateless,2036,5014
Stateless,Romania,Stateless,299,240
Stateless,Russian Federation29,Stateless,113474,101813
Stateless,Saudi Arabia,Stateless,70000,70000
Stateless,Serbia and Kosovo: S/RES/1244 (1999)30,Stateless,3578,2700
Stateless,Slovakia31,Stateless,1523,1523
Stateless,Slovenia32,Stateless,4,4
Stateless,Spain,Stateless,270,440
Stateless,South Africa,Stateless,0,0
Stateless,Sri Lanka,Stateless,0,0
Stateless,Sweden,Stateless,27167,31062
Stateless,Switzerland,Stateless,76,69
Stateless,Syrian Arab Republic33,Stateless,160000,160000
Stateless,Tajikistan34,Stateless,1364,19469
Stateless,Thailand35,Stateless,506197,443862
Stateless,The former Yugoslav Republic of Macedonia36,Stateless,741,667
Stateless,Turkey,Stateless,780,780
Stateless,Turkmenistan,Stateless,7511,7125
Stateless,Ukraine37,Stateless,35335,35228
Stateless,United Arab Emirates,Stateless,0,0
Stateless,United Kingdom38,Stateless,38,41
Stateless,Uzbekistan39,Stateless,86703,86703
Stateless,Viet Nam,Stateless,11000,11000
Stateless,Zimbabwe40,Stateless,0,300000
