"residence","pop_type","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","id"
"Afghanistan","Refugees",0,6,3,22,30,32,35,42,37,37,6434,3009,16187,16861,300385,257523,1
"Albania","Refugees",523,292,17,26,51,56,56,77,65,70,76,82,86,76,0,0,2
"Algeria","Refugees",169656,169422,169233,169033,169048,94101,94180,94137,94093,94137,94144,94148,94133,94122,94016,94016,3
"Angola","Refugees",12086,12250,12250,13382,13970,13984,13090,12069,12710,14734,15155,16223,23413,23771,12944,12944,4
"Argentina","Refugees",2396,2396,2439,2642,2916,3074,3158,3263,2845,3230,3276,3361,3488,3295,0,0,5
"Armenia","Refugees",280591,264337,247550,239289,235235,219550,113714,4566,3953,3607,3296,2918,2854,13727,17527,19131,6
"Aruba","Refugees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Australia","Refugees",60246,57895,59436,56258,63476,64964,68948,22164,20919,22548,21805,23434,30083,34405,29090,29998,8
"Austria","Refugees",15492,14390,14130,16109,17795,21230,25486,30773,37557,38906,42630,47073,51730,55560,52681,64176,9
"Azerbaijan","Refugees",287,367,458,326,8606,3004,2618,2352,2061,1642,1891,1730,1468,1377,0,0,10
"Bahamas","Refugees",100,0,0,0,0,0,0,0,0,0,28,28,37,14,0,0,11
"Bahrain","Refugees",1,1,0,0,0,0,1,0,48,139,165,199,289,294,0,0,12
"Bangladesh","Refugees",21627,22173,22025,19792,20449,21098,26311,27573,28389,228586,229253,229669,230697,231137,232462,231948,13
"Barbados","Refugees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Belarus","Refugees",458,584,618,638,725,725,690,649,609,580,589,595,576,599,284,1089,15
"Belgium","Refugees",18832,12265,12578,12595,13529,15282,16820,17575,17026,15545,17892,22402,22024,25572,21418,25657,16
"Belize","Refugees",1250,1129,1049,861,732,624,488,358,277,230,134,78,28,21,0,0,17
"Benin","Refugees",4296,4799,5021,5034,4802,30294,10797,7621,6933,7205,7139,7217,4966,185,0,0,18
"Bosnia and Herzegovina","Refugees",38152,32745,28022,22517,22215,10568,10318,7367,7257,7132,7016,6933,6903,6909,6703,6679,19
"Botswana","Refugees",3551,3581,2805,2838,2839,3109,3160,2465,3019,3022,2986,3312,2785,2766,0,0,20
"Brazil","Refugees",2722,2884,3182,3193,3345,3458,3492,20783,3852,4232,4357,4477,4689,5130,4800,5679,21
"British Virgin Islands","Refugees",0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,22
"Bulgaria","Refugees",1474,3004,3658,4068,4684,4413,4504,4836,5129,5393,5530,5688,2288,4280,9708,15158,23
"Burkina Faso","Refugees",696,457,457,466,492,511,511,535,557,543,531,546,39306,29228,31604,33574,24
"Burundi","Refugees",27136,27896,40533,40971,48808,20681,13176,24483,21093,24967,29365,35659,41813,45487,52631,53029,25
"Cambodia","Refugees",34,50,200,76,382,127,99,179,164,135,129,64,77,64,0,0,26
"Cameroon","Refugees",43680,41186,58288,58583,58861,52042,35083,60137,81037,99957,104275,100373,98969,114729,262408,341101,27
"Canada","Refugees",126991,129224,129950,133094,141398,147171,151827,175741,173651,169434,165549,164883,163756,160327,121144,110325,28
"Cayman Islands","Refugees",0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,29
"Central African Rep.","Refugees",55661,49239,50725,44753,25020,24569,12357,7535,7429,27047,21574,16730,14014,14313,7222,6785,30
"Chad","Refugees",17692,12950,33455,146400,259880,275412,286743,294017,330510,338495,347939,366494,373695,434461,452424,368836,31
"Chile","Refugees",364,389,413,466,569,806,1134,1376,1613,1539,1621,1674,1695,1723,996,1054,32
"China","Refugees",294110,295325,297277,299354,299375,301041,301027,301078,300967,300989,300986,301018,301037,301045,300896,300896,33
"Colombia","Refugees",239,210,205,186,141,155,143,168,170,196,212,219,219,182,0,0,34
"Comoros","Refugees",11,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,35
"Congo, Republic of","Refugees",123190,119147,109201,91362,68536,66075,55788,38472,24779,111411,133112,141232,98455,51023,54175,44480,36
"Costa Rica","Refugees",5519,8104,12433,13508,10413,11253,11515,17190,18136,19116,19505,20057,20449,20524,16623,2247,37
"Côte d'Ivoire","Refugees",120691,126239,44749,75971,72088,41627,27288,24647,24811,24604,26218,24221,3980,2955,1086,1040,38
"Croatia","Refugees",22437,21875,8392,4387,3663,2927,2443,1642,1597,1238,936,824,724,659,0,0,39
"Cuba","Refugees",954,1036,1005,836,795,706,667,615,525,454,411,384,371,377,0,0,40
"Curaçao","Refugees",0,0,0,0,0,0,0,0,0,0,7,6,14,13,0,0,41
"Cyprus","Refugees",76,83,173,349,531,701,924,1194,1465,2888,3394,3503,3631,3834,3190,4896,42
"Czech Rep.","Refugees",1186,1216,1297,1516,1623,1802,1887,2037,2110,2323,2449,2449,2805,3125,0,0,43
"Dem. Rep. of the Congo","Refugees",332509,362012,332978,234033,199323,204341,208371,177390,155162,185809,166336,152749,65109,113357,117242,381741,44
"Denmark","Refugees",71035,73284,73597,69858,65310,44374,36659,26788,23401,20355,17922,13399,11814,13123,14864,24620,45
"Djibouti","Refugees",23243,23176,21702,27034,18035,10456,9259,6651,9228,12111,15104,20340,19139,20005,19720,18480,46
"Dominican Rep.","Refugees",510,0,0,0,0,0,0,0,0,0,599,595,758,716,0,0,47
"Ecuador","Refugees",1602,1715,3240,6381,8450,10063,11789,264907,101398,116557,121249,123436,123824,123051,121317,120685,48
"Egypt","Refugees",6840,7230,80494,88749,90343,88946,88022,97556,97861,94406,95056,95087,109933,230055,235321,211966,49
"El Salvador","Refugees",59,69,74,246,235,49,39,39,32,30,38,38,45,37,0,0,50
"Eritrea","Refugees",1984,2272,3619,3889,4240,4418,4621,5042,4862,4751,4809,4719,3600,3166,2758,2485,51
"Estonia","Refugees",4,11,10,12,11,7,5,18,22,24,39,50,63,42,0,0,52
"Ethiopia","Refugees",197959,152554,132940,130274,115980,100817,96980,85183,83583,121886,154295,288844,376393,433923,658912,735474,53
"Federal Rep. of Yugoslavia","Refugees",484391,400304,354402,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"Federated States of Micronesia","Refugees",0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,55
"Fiji","Refugees",0,0,0,0,0,0,0,0,0,2,1,7,6,0,0,0,56
"Finland","Refugees",13276,12728,12490,10843,11325,11809,11827,6204,6617,7447,8724,9175,9919,11192,7867,8592,57
"France","Refugees",132508,131601,132182,130838,139852,137316,145996,151789,171206,196364,200687,210207,217865,232487,237247,257195,58
"Gabon","Refugees",17982,15581,13473,14005,13787,8545,8429,8826,9001,8845,9015,1773,1663,1572,0,0,59
"Gambia","Refugees",12016,8133,12120,7465,7343,7330,13761,14895,14836,10118,8378,9528,9853,9557,11036,7392,60
"Georgia","Refugees",7620,7901,4192,3864,2559,2497,1373,1047,996,870,639,462,469,832,0,0,61
"Germany","Refugees",906000,903000,980000,960395,876622,700016,605410,578879,582735,593799,594269,571685,589737,187505,201604,300488,62
"Ghana","Refugees",12720,11792,33515,43947,42053,53537,44938,34958,18206,13658,13828,13588,16016,18666,17967,16636,63
"Greece","Refugees",6653,6948,2788,2771,2489,2390,2289,2228,2164,1695,1444,1573,2100,3443,6748,25622,64
"Grenada","Refugees",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,65
"Guatemala","Refugees",720,729,733,715,656,391,382,379,130,131,138,147,159,154,0,0,66
"Guinea","Refugees",427206,178444,182163,184341,139252,63525,31468,25226,21488,15325,14113,16609,10371,8544,8367,8436,67
"Guinea-Bissau","Refugees",7587,7332,7639,7551,7536,7616,7804,7860,7884,7898,7679,7800,7784,8530,8601,8601,68
"Guyana","Refugees",0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,69
